"Profile","Channel","AlgorithmId","PKey2009Priority","PKey2005Priority","PKey986-980Priority","Path"
"Pre-Vista (Windows 98 to XP - Office 2000 to 2007 - etc)","Production","[980, 986]","0","0","2","Pre-Vista Custom Made\Pre-Vista (Windows 98 to XP - Office 2000 to 2007 - etc)\pkeyconfig-custom-made.xrm-ms"
"28000 - Windows 11 24H2-25H2-26H2 - Server 2025 - Azure Local 24H2","Production","[2009]","1","0","0","Windows - Server\Production\Main\28000 - Windows 11 24H2-25H2-26H2 - Server 2025 - Azure Local 24H2\pkeyconfig.xrm-ms"
"25398 - Server 23H2 - Azure Stack HCI 23H2","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\25398 - Server 23H2 - Azure Stack HCI 23H2\pkeyconfig.xrm-ms"
"22631 - Windows 11 22H2-23H2","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\22631 - Windows 11 22H2-23H2\pkeyconfig.xrm-ms"
"22000 - Windows 11 21H2","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\22000 - Windows 11 21H2\pkeyconfig.xrm-ms"
"20348 - Server 2022 - Azure Stack HCI 21H2-22H2","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\20348 - Server 2022 - Azure Stack HCI 21H2-22H2\pkeyconfig.xrm-ms"
"19045 - Windows 10 2004-20H2-21H1-21H2-22H2 - Server 2004-20H2","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\19045 - Windows 10 2004-20H2-21H1-21H2-22H2 - Server 2004-20H2\pkeyconfig.xrm-ms"
"18363 - Windows 10 1903-1909 - Server 1903-1909","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\18363 - Windows 10 1903-1909 - Server 1903-1909\pkeyconfig.xrm-ms"
"17784 - Azure Stack HCI 20H2","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\17784 - Azure Stack HCI 20H2\pkeyconfig.xrm-ms"
"17763 - Windows 10 1809 - Server 2019-1809","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\17763 - Windows 10 1809 - Server 2019-1809\pkeyconfig.xrm-ms"
"17134 - Windows 10 1803 - Server 1803","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\17134 - Windows 10 1803 - Server 1803\pkeyconfig.xrm-ms"
"16299 - Windows 10 1709 - Server 1709","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\16299 - Windows 10 1709 - Server 1709\pkeyconfig.xrm-ms"
"15063 - Windows 10 1703","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\15063 - Windows 10 1703\pkeyconfig.xrm-ms"
"14393 - Windows 10 1607 - Server 2016","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\14393 - Windows 10 1607 - Server 2016\pkeyconfig.xrm-ms"
"10586 - Windows 10 1511","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\10586 - Windows 10 1511\pkeyconfig.xrm-ms"
"10240 - Windows 10 1507","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\10240 - Windows 10 1507\pkeyconfig.xrm-ms"
"9600 - Windows 8.1 - Server 2012 R2","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\9600 - Windows 8.1 - Server 2012 R2\pkeyconfig.xrm-ms"
"9200 - Windows 8 - Server 2012","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Main\9200 - Windows 8 - Server 2012\pkeyconfig.xrm-ms"
"7601 - Windows 7 - Server 2008 R2","Production","[2005]","0","1","0","Windows - Server\Production\Main\7601 - Windows 7 - Server 2008 R2\pkeyconfig.xrm-ms"
"6002 - Windows Vista - Server 2008","Production","[2005]","0","1","0","Windows - Server\Production\Main\6002 - Windows Vista - Server 2008\pkeyconfig.xrm-ms"
"9200 - Windows Embedded Standard 8","Production","[2005, 2009]","1","2","0","Embedded\Production\9200 - Windows Embedded Standard 8\pkeyconfig.xrm-ms"
"7601 - Windows Embedded POSReady 7","Production","[2005]","0","1","0","Embedded\Production\7601 - Windows Embedded POSReady 7\pkeyconfig.xrm-ms"
"7601 - Windows Embedded Standard 7","Production","[2005]","0","1","0","Embedded\Production\7601 - Windows Embedded Standard 7\pkeyconfig.xrm-ms"
"7600 - Windows Thin PC","Production","[2005]","0","1","0","Embedded\Production\7600 - Windows Thin PC\pkeyconfig.xrm-ms"
"Office 2016-2019-2021-2024-O365 Subscription For Mac","Production","[2009]","1","0","0","Office\Production\Office 2016-2019-2021-2024-O365 Subscription For Mac\subscription_pkeyconfig.xml"
"Office 2016-2019-2021-2024-O365","Production","[2009]","1","0","0","Office\Production\Office 2016-2019-2021-2024-O365\pkeyconfig-office.xrm-ms"
"Office 2013-O365","Production","[2009]","1","0","0","Office\Production\Office 2013-O365\pkeyconfig-office.xrm-ms"
"Office 2011 For Mac","Production","[2005]","0","1","0","Office\Production\Office 2011 For Mac\retail_pkeyconfig.xml"
"Office 2010","Production","[2005]","0","1","0","Office\Production\Office 2010\pkeyconfig-office.xrm-ms"
"Office 2016-2019-2021-2024 KMS Host","Production","[2005]","0","1","0","Office KMS Host\Production\Office 2016-2019-2021-2024 KMS Host\pkeyconfig-office-kmshost.xrm-ms"
"Office 2013 KMS Host","Production","[2005]","0","1","0","Office KMS Host\Production\Office 2013 KMS Host\pkeyconfig-office-kmshost.xrm-ms"
"Office 2010 KMS Host","Production","[2005]","0","1","0","Office KMS Host\Production\Office 2010 KMS Host\prs-pkeyconfig-o14-rtm.xrm-ms"
"28000 - Csvlk - Windows 11 24H2-25H2-26H2 - Server 2025 - Azure Local 24H2","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Csvlk\28000 - Csvlk - Windows 11 24H2-25H2-26H2 - Server 2025 - Azure Local 24H2\pkeyconfig-csvlk.xrm-ms"
"25398 - Csvlk - Server 23H2 - Azure Stack HCI 23H2","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Csvlk\25398 - Csvlk - Server 23H2 - Azure Stack HCI 23H2\pkeyconfig-csvlk.xrm-ms"
"22631 - Csvlk - Windows 11 22H2-23H2","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Csvlk\22631 - Csvlk - Windows 11 22H2-23H2\pkeyconfig-csvlk.xrm-ms"
"22000 - Csvlk - Windows 11 21H2","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Csvlk\22000 - Csvlk - Windows 11 21H2\pkeyconfig-csvlk.xrm-ms"
"20348 - Csvlk - Server 2022 - Azure Stack HCI 21H2-22H2","Production","[2005, 2009]","1","2","0","Windows - Server\Production\Csvlk\20348 - Csvlk - Server 2022 - Azure Stack HCI 21H2-22H2\pkeyconfig-csvlk.xrm-ms"
"19045 - Csvlk - Windows 10 2004-20H2-21H1-21H2-22H2 - Server 2004-20H2","Production","[2005, 2009]","2","1","0","Windows - Server\Production\Csvlk\19045 - Csvlk - Windows 10 2004-20H2-21H1-21H2-22H2 - Server 2004-20H2\pkeyconfig-csvlk.xrm-ms"
"18363 - Csvlk - Windows 10 1903-1909 - Server 1903-1909","Production","[2005, 2009]","2","1","0","Windows - Server\Production\Csvlk\18363 - Csvlk - Windows 10 1903-1909 - Server 1903-1909\pkeyconfig-csvlk.xrm-ms"
