Edition,License,Stage,Channel_Min,Sequence_Min,Channel_Max,Sequence_Max,BinkID_Hex,BinkID_Dec
Windows 98,Retail,FE,000,000000,999,999999,02,2
Windows 98,Retail,SE,000,000000,999,999999,02,2
Windows 98,OEM,FE,000,000000,999,999999,03,3
Windows 98,OEM,SE,000,000000,999,999999,03,3
Windows Millennium Edition (Me),Retail,N/A,000,000000,999,999999,1C,28
Windows Millennium Edition (Me),OEM,N/A,000,000000,999,999999,1D,29
Windows 2000 Professional,Retail,N/A,000,000000,999,999999,12,18
Windows 2000 Professional,OEM,N/A,000,000000,999,999999,13,19
Windows 2000 Server,Retail,N/A,000,000000,999,999999,0A,10
Windows 2000 Server,OEM,N/A,000,000000,999,999999,13,19
Windows 2000 Advanced Server,Retail,N/A,000,000000,999,999999,0A,10
Windows 2000 Advanced Server,OEM,N/A,000,000000,999,999999,13,19
Windows 2000 Datacenter Server,Retail,N/A,000,000000,999,999999,0A,10
Windows 2000 Datacenter Server,OEM,N/A,000,000000,999,999999,13,19
Windows XP Embedded,OEM,N/A,200,000000,619,999999,0D,13
Windows XP Home Edition,Retail,RTM,005,000000,085,999999,2A,42
Windows XP Home Edition,Retail,RTM,337,000000,359,999999,2A,42
Windows XP Home Edition,Retail,SP1,005,000000,085,999999,2A,42
Windows XP Home Edition,Retail,SP1,337,000000,359,999999,2A,42
Windows XP Home Edition,Retail,SP1,755,000000,779,999999,2A,42
Windows XP Home Edition,Retail,SP2,005,000000,085,999999,2A,42
Windows XP Home Edition,Retail,SP2,337,000000,359,999999,2A,42
Windows XP Home Edition,Retail,SP2,755,000000,779,999999,2A,42
Windows XP Home Edition,Retail,SP3,005,000000,085,999999,2A,42
Windows XP Home Edition,Retail,SP3,106,000000,106,999999,2A,42
Windows XP Home Edition,Retail,SP3,337,000000,359,999999,2A,42
Windows XP Home Edition,Retail,SP3,362,000000,376,999999,2A,42
Windows XP Home Edition,Retail,SP3,377,000000,377,999999,2A,42
Windows XP Home Edition,Retail,SP3,755,000000,779,999999,2A,42
Windows XP Home Edition,Retail,SP3,984,000000,984,999999,2A,42
Windows XP Home Edition,OEM,RTM,120,000000,169,999999,2B,43
Windows XP Home Edition,OEM,RTM,400,000000,699,999999,2B,43
Windows XP Home Edition,OEM,SP1,120,000000,169,999999,2B,43
Windows XP Home Edition,OEM,SP1,400,000000,699,999999,2B,43
Windows XP Home Edition,OEM,SP1,700,000000,754,999999,2B,43
Windows XP Home Edition,OEM,SP2,120,000000,169,999999,2B,43
Windows XP Home Edition,OEM,SP2,400,000000,665,999999,2B,43
Windows XP Home Edition,OEM,SP2,667,000000,699,999999,2B,43
Windows XP Home Edition,OEM,SP2,700,000000,754,999999,2B,43
Windows XP Home Edition,OEM,SP3,085,000000,085,999999,2B,43
Windows XP Home Edition,OEM,SP3,086,000000,095,999999,2B,43
Windows XP Home Edition,OEM,SP3,096,000000,105,999999,2B,43
Windows XP Home Edition,OEM,SP3,107,000000,118,999999,2B,43
Windows XP Home Edition,OEM,SP3,120,000000,169,999999,2B,43
Windows XP Home Edition,OEM,SP3,170,000000,186,999999,2B,43
Windows XP Home Edition,OEM,SP3,189,000000,189,999999,2B,43
Windows XP Home Edition,OEM,SP3,192,000000,336,999999,2B,43
Windows XP Home Edition,OEM,SP3,400,000000,665,999999,2B,43
Windows XP Home Edition,OEM,SP3,667,000000,699,999999,2B,43
Windows XP Home Edition,OEM,SP3,700,000000,754,999999,2B,43
Windows XP Home Edition,OEM,SP3,755,000000,899,999999,2B,43
Windows XP Home Edition,OEM,SP3,921,000000,979,999999,2B,43
Windows XP Home Edition,OEM-SLP,RTM,119,000100,119,000299,2B,43
Windows XP Home Edition,OEM-SLP,SP1,119,000100,119,000299,2B,43
Windows XP Home Edition,OEM-SLP,SP2,119,000100,119,000299,2B,43
Windows XP Home Edition,OEM-SLP,SP3,119,000100,119,000299,2B,43
Windows XP Home Edition K,Retail,N/A,085,020000,085,101999,2A,42
Windows XP Home Edition K,Retail,N/A,106,000000,106,099999,2A,42
Windows XP Home Edition K,Retail,N/A,106,100000,106,199999,2A,42
Windows XP Home Edition K,Retail,N/A,377,000000,377,404999,2A,42
Windows XP Home Edition K,Retail,N/A,377,568000,377,666999,2A,42
Windows XP Home Edition K,Retail,N/A,377,668000,377,999999,2A,42
Windows XP Home Edition K,Retail,N/A,984,000000,984,199999,2A,42
Windows XP Home Edition K,OEM,N/A,170,000000,186,699999,2B,43
Windows XP Home Edition K,OEM-SLP,N/A,190,000000,190,002499,2B,43
Windows XP Home Edition KN,Retail,N/A,085,102000,085,201999,2A,42
